cve_id_pk,cve_id
762,CVE-2004-0846
763,CVE-2004-0847
764,CVE-2004-0848
765,CVE-2004-0849
766,CVE-2004-0850
767,CVE-2004-0851
768,CVE-2004-0852
769,CVE-2004-0866
770,CVE-2004-0867
771,CVE-2004-0869
772,CVE-2004-0870
773,CVE-2004-0871
774,CVE-2004-0872
775,CVE-2004-0873
776,CVE-2004-0875
777,CVE-2004-0880
778,CVE-2004-0881
779,CVE-2004-0882
780,CVE-2004-0883
781,CVE-2004-0884
782,CVE-2004-0885
783,CVE-2004-0886
784,CVE-2004-0887
785,CVE-2004-0888
786,CVE-2004-0889
787,CVE-2004-0891
788,CVE-2004-0892
789,CVE-2004-0893
790,CVE-2004-0894
791,CVE-2004-0897
792,CVE-2004-0899
793,CVE-2004-0900
794,CVE-2004-0901
795,CVE-2004-0902
796,CVE-2004-0903
797,CVE-2004-0904
798,CVE-2004-0905
799,CVE-2004-0906
800,CVE-2004-0907
801,CVE-2004-0908
802,CVE-2004-0909
803,CVE-2004-0911
804,CVE-2004-0913
805,CVE-2004-0914
806,CVE-2004-0915
807,CVE-2004-0916
808,CVE-2004-0917
809,CVE-2004-0918
810,CVE-2004-0919
811,CVE-2004-0920
812,CVE-2004-0921
813,CVE-2004-0922
814,CVE-2004-0923
815,CVE-2004-0924
816,CVE-2004-0925
817,CVE-2004-0926
818,CVE-2004-0927
819,CVE-2004-0928
820,CVE-2004-0929
821,CVE-2004-0930
822,CVE-2004-0931
823,CVE-2004-0932
824,CVE-2004-0933
825,CVE-2004-0934
826,CVE-2004-0935
827,CVE-2004-0936
828,CVE-2004-0937
829,CVE-2004-0939
830,CVE-2004-0940
831,CVE-2004-0941
832,CVE-2004-0944
833,CVE-2004-0945
834,CVE-2004-0946
835,CVE-2004-0947
836,CVE-2004-0949
837,CVE-2004-0950
838,CVE-2004-0951
839,CVE-2004-0952
840,CVE-2004-0953
841,CVE-2004-0956
842,CVE-2004-0957
843,CVE-2004-0960
844,CVE-2004-0961
845,CVE-2004-0962
846,CVE-2004-0963
847,CVE-2004-0964
848,CVE-2004-0965
849,CVE-2004-0966
850,CVE-2004-0967
851,CVE-2004-0968
852,CVE-2004-0969
853,CVE-2004-0970
854,CVE-2004-0971
855,CVE-2004-0972
856,CVE-2004-0974
857,CVE-2004-0975
858,CVE-2004-0976
859,CVE-2004-0977
860,CVE-2004-0979
861,CVE-2004-0980
862,CVE-2004-0981
863,CVE-2004-0982
864,CVE-2004-0983
865,CVE-2004-0984
866,CVE-2004-0985
867,CVE-2004-0986
868,CVE-2004-0987
869,CVE-2004-0988
870,CVE-2004-0989
871,CVE-2004-0990
872,CVE-2004-0991
873,CVE-2004-0992
874,CVE-2004-0993
875,CVE-2004-0994
876,CVE-2004-0996
877,CVE-2004-0997
878,CVE-2004-0998
879,CVE-2004-0999
880,CVE-2004-1000
881,CVE-2004-1001
882,CVE-2004-1002
883,CVE-2004-1003
884,CVE-2004-1004
885,CVE-2004-1005
886,CVE-2004-1006
887,CVE-2004-1007
888,CVE-2004-1008
889,CVE-2004-1009
890,CVE-2004-1010
891,CVE-2004-1011
892,CVE-2004-1012
893,CVE-2004-1013
894,CVE-2004-1014
895,CVE-2004-1015
896,CVE-2004-1016
897,CVE-2004-1017
898,CVE-2004-1018
899,CVE-2004-1019
900,CVE-2004-1020
901,CVE-2004-1021
902,CVE-2004-1022
903,CVE-2004-1023
904,CVE-2004-1025
905,CVE-2004-1026
906,CVE-2004-1027
907,CVE-2004-1028
908,CVE-2004-1029
909,CVE-2004-1030
910,CVE-2004-1031
911,CVE-2004-1032
912,CVE-2004-1033
913,CVE-2004-1034
914,CVE-2004-1035
915,CVE-2004-1036
916,CVE-2004-1037
917,CVE-2004-1038
918,CVE-2004-1039
919,CVE-2004-1043
920,CVE-2004-1049
921,CVE-2004-1050
922,CVE-2004-1051
923,CVE-2004-1052
924,CVE-2004-1053
925,CVE-2004-1054
926,CVE-2004-1055
927,CVE-2004-1056
928,CVE-2004-1057
929,CVE-2004-1058
930,CVE-2004-1059
931,CVE-2004-1060
932,CVE-2004-1061
933,CVE-2004-1062
934,CVE-2004-1063
935,CVE-2004-1064
936,CVE-2004-1065
937,CVE-2004-1066
938,CVE-2004-1067
939,CVE-2004-1068
940,CVE-2004-1069
941,CVE-2004-1070
942,CVE-2004-1071
943,CVE-2004-1072
944,CVE-2004-1073
945,CVE-2004-1074
946,CVE-2004-1075
947,CVE-2004-1076
948,CVE-2004-1077
949,CVE-2004-1078
950,CVE-2004-1079
951,CVE-2004-1080
952,CVE-2004-1081
953,CVE-2004-1082
954,CVE-2004-1083
955,CVE-2004-1084
956,CVE-2004-1085
957,CVE-2004-1086
958,CVE-2004-1087
959,CVE-2004-1088
960,CVE-2004-1089
961,CVE-2004-1090
962,CVE-2004-1091
963,CVE-2004-1092
964,CVE-2004-1093
965,CVE-2004-1094
966,CVE-2004-1095
967,CVE-2004-1096
968,CVE-2004-1097
969,CVE-2004-1098
970,CVE-2004-1099
971,CVE-2004-1100
972,CVE-2004-1101
973,CVE-2004-1102
974,CVE-2004-1103
975,CVE-2004-1104
976,CVE-2004-1105
977,CVE-2004-1106
978,CVE-2004-1107
979,CVE-2004-1108
980,CVE-2004-1109
981,CVE-2004-1110
982,CVE-2004-1111
983,CVE-2004-1112
984,CVE-2004-1113
985,CVE-2004-1114
986,CVE-2004-1115
987,CVE-2004-1116
988,CVE-2004-1117
989,CVE-2004-1118
990,CVE-2004-1119
991,CVE-2004-1120
992,CVE-2004-1121
993,CVE-2004-1122
994,CVE-2004-1123
995,CVE-2004-1124
996,CVE-2004-1125
997,CVE-2004-1127
998,CVE-2004-1128
999,CVE-2004-1129
1000,CVE-2004-1130
