cpe_id_pk,cpe_version,part,vendor,product,version,update,edition,sw_edition,target_sw,target_hw,language,other,initial_cpe
713,2.3,o,microsoft,windows_nt,4.0,sp1,,,server,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:*:*:server:*:x86:*
714,2.3,o,microsoft,windows_nt,4.0,sp1,,,terminal_server,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:*:*:terminal_server:*:x64:*
715,2.3,o,microsoft,windows_nt,4.0,sp1,,,terminal_server,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:*:*:terminal_server:*:x86:*
716,2.3,o,microsoft,windows_nt,4.0,sp1,,,workstation,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:*:*:workstation:*:x64:*
717,2.3,o,microsoft,windows_nt,4.0,sp1,,,workstation,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:*:*:workstation:*:x86:*
718,2.3,o,microsoft,windows_nt,4.0,sp1,embedded,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:embedded:*:*:*:*:*
719,2.3,o,microsoft,windows_nt,4.0,sp1,enterprise,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:enterprise:*:*:*:*:*
720,2.3,o,microsoft,windows_nt,4.0,sp1,server,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:server:*:*:*:*:*
721,2.3,o,microsoft,windows_nt,4.0,sp1,terminal_server,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:terminal_server:*:*:*:*:*
722,2.3,o,microsoft,windows_nt,4.0,sp1,workstation,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:sp1:workstation:*:*:*:*:*
723,2.3,o,microsoft,windows_nt,4.0,sp2,,,,,,,cpe:2.3:o:microsoft:windows_nt:4.0:sp2:*:*:*:*:*:*
724,2.3,o,microsoft,windows_nt,4.0,sp2,,,embedded,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:sp2:*:*:embedded:*:x64:*
725,2.3,o,microsoft,windows_nt,4.0,sp2,,,embedded,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:sp2:*:*:embedded:*:x86:*
726,2.3,o,microsoft,windows_nt,4.0,sp2,,,enterprise,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:sp2:*:*:enterprise:*:x64:*
727,2.3,o,microsoft,windows_nt,4.0,sp2,,,enterprise,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:sp2:*:*:enterprise:*:x86:*
728,2.3,o,microsoft,windows_nt,4.0,sp2,,,server,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:sp2:*:*:server:*:x64:*
729,2.3,o,microsoft,windows_nt,4.0,sp2,,,server,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:sp2:*:*:server:*:x86:*
730,2.3,o,microsoft,windows_nt,4.0,sp2,,,terminal_server,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:sp2:*:*:terminal_server:*:x64:*
731,2.3,o,microsoft,windows_nt,4.0,sp2,,,terminal_server,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:sp2:*:*:terminal_server:*:x86:*
732,2.3,o,microsoft,windows_nt,4.0,sp2,,,workstation,,x64,,cpe:2.3:o:microsoft:windows_nt:4.0:sp2:*:*:workstation:*:x64:*
733,2.3,o,microsoft,windows_nt,4.0,sp2,,,workstation,,x86,,cpe:2.3:o:microsoft:windows_nt:4.0:sp2:*:*:workstation:*:x86:*
